,0
278,zero
279,zero
280,"{'word': 'value for engineer', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
281,"{'word': 'enemy for material', 'neg': 0.636, 'neu': 0.364, 'pos': 0.0, 'compound': -0.5423}"
282,zero
283,zero
284,zero
285,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
286,zero
287,"{'word': 'product in budget', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
288,"{'word': 'awesome for money', 'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}"
289,zero
290,zero
291,zero
292,zero
293,"{'word': 'loss in space', 'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}"
294,"{'word': 'rests on plywood', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
295,zero
296,zero
297,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
298,zero
299,zero
300,"{'word': 'choice in range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
301,zero
302,zero
303,zero
304,"{'word': 'work by arvind', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
305,"{'word': 'good looking', 'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
306,"{'word': 'durability in run', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
307,zero
308,zero
309,zero
310,zero
311,"{'word': 'support from flipkart', 'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}"
312,zero
313,zero
314,zero
315,zero
316,zero
317,"{'word': 'bed at look', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
318,"{'word': 'look of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
319,"{'word': 'quality of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
320,zero
321,zero
322,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
323,zero
324,zero
325,zero
326,zero
327,zero
328,zero
329,zero
330,"{'word': 'life of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
331,zero
332,zero
333,zero
334,zero
335,"{'word': 'review after months', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
336,"{'word': 'months of usenot', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
337,"{'word': 'doubts.but about', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
338,zero
339,zero
340,"{'word': 'waste of money', 'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}"
341,zero
342,"{'word': 'value for product', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
343,zero
344,"{'word': 'transport for dismantle', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
345,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
346,zero
347,zero
348,zero
349,zero
350,zero
351,zero
352,zero
353,"{'word': 'quality of plywood', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
354,"{'word': 'idea about durability', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
355,"{'word': 'durability of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
356,zero
357,"{'word': 'experience with regard', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
358,"{'word': 'regard to bothers', 'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.2023}"
359,"{'word': 'experience for', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
360,zero
361,zero
362,zero
363,zero
364,zero
365,zero
366,zero
367,zero
368,zero
369,zero
370,zero
371,zero
372,zero
373,zero
374,zero
375,"{'word': 'quality of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
376,zero
377,"{'word': 'choice for singles', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
378,zero
379,"{'word': 'home for', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
380,zero
381,zero
382,zero
383,zero
384,zero
385,"{'word': 'product after', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
386,"{'word': 'support under warranty', 'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}"
387,"{'word': 'issue with storage', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
388,zero
389,zero
390,zero
391,"{'word': 'value of money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
392,zero
393,zero
394,zero
395,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
396,zero
397,zero
398,zero
399,zero
400,zero
401,zero
402,zero
403,"{'word': 'quality of products', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
404,"{'word': 'value of money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
405,zero
406,zero
407,zero
408,zero
409,zero
410,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
411,"{'word': 'year of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
412,zero
413,"{'word': 'product within range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
414,"{'word': 'very strong', 'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5563}"
415,zero
416,zero
417,zero
418,zero
419,zero
420,zero
421,zero
422,zero
423,zero
424,zero
425,zero
426,zero
427,zero
428,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
429,zero
430,zero
431,zero
432,zero
433,"{'word': 'product in value', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
434,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
435,"{'word': 'product at range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
436,"{'word': 'good height of bed', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
437,zero
